id,tag,name
383,CQT,Covalent
384,IBEUR,Iron Bank EURO
385,SUN,Sun Token
386,OUSD,Origin Dollar
387,KODA,Koda Cryptocurrency
388,REV,Revain
389,ARK,ARK
390,COL,Clash of Lilliput
391,AKT,Akash Network
392,BADGER,Badger DAO
393,XVG,Verge
394,XSGD,XSGD
395,ADS,Adshares
396,DAWN,Dawn Protocol
397,BONK,Bonk
398,DODO,DODO
399,MBX,Marblex
400,ASD,AscendEx
401,RIF,RSK Infrastructure Framework
402,XCM,Coinmetro
403,SFUND,Seedify.fund
404,SUSD,sUSD
405,STORJ,Storj
406,AERGO,Aergo
407,MFT,Hifi Finance [OLD]
408,AXEL,AXEL
409,SAITO,Saito
410,MNW,Morpheus Network
411,SWEAT,Sweatcoin - Sweat Economy
412,OXT,Orchid Protocol
413,MIMATIC,MAI
414,EFI,Efinity
415,ACH,Alchemy Pay
416,MTRG,Meter Governance
417,SSX,SOMESING Exchange
418,UTK,Utrust
419,STRK,Strike
420,MOVR,Moonriver
421,XMON,XMON
422,COCOS,COCOS BCX
423,AXN,Axion
424,CUSD,Celo Dollar
425,MBL,MovieBloc
426,PERP,Perpetual Protocol
427,AMA,MrWeb Finance [OLD]
428,GODS,Gods Unchained
429,BWO,Battle World
430,IETH,Instadapp ETH
431,USDK,USDK
432,YGG,Yield Guild Games
433,REP,Augur
434,ZIG,Zignaly
435,KISHU,Kishu Inu
436,ITAMCUBE,CUBE
437,HXRO,Hxro
438,MTD,Minted
439,DUSK,DUSK Network
440,ETN,Electroneum
441,AVINOC,AVINOC
442,GHST,Aavegotchi
443,ALPACA,Alpaca Finance
444,VEGA,Vega Protocol
445,AURABAL,Aura BAL
446,EGC,EverGrow Coin
447,ALBT,AllianceBlock
448,HAY,Destablecoin HAY
449,XCAD,XCAD Network
450,META,Metadium
451,FLM,Flamingo Finance
452,POLS,Polkastarter
453,LOOMOLD,Loom Network OLD)
454,DEI,DEI
455,UFO,UFO Gaming
456,MPL,Maple
457,PLT,Poollotto.finance
458,LEASH,Doge Killer
459,FEI,Fei USD
460,SB,Snowbank
461,SOFI,RAI Finance
462,RAY,Raydium
463,MATICX,Stader MaticX
464,TT,ThunderCore
465,ATA,Automata
466,ATLAS,Star Atlas
467,HC,HyperCash
468,U,Unidef
469,WAN,Wanchain
470,TRB,Tellor
471,LAT,PlatON Network
472,TLOS,Telos
473,LIT,Litentry
474,BTRFLY,Redacted
475,IDIA,Impossible Finance Launchpad
476,QRDO,Qredo
477,WOZX,Efforce
478,CULT,Cult DAO
479,VRSC,Verus Coin
480,MELD,MELD
481,KP3R,Keep3rV1
482,HERO,Metahero
483,ROOT,Rootkit
484,STARS,Stargaze
485,RLY,Rally
486,GXC,GXChain
487,FINE,Refinable
488,LTO,LTO Network
489,ERN,Ethernity Chain
490,BIFI,Beefy.Finance
491,LOKA,League of Kingdoms
492,FITFI,Step App
493,TRU,TrueFi
494,GAS,Gas
495,AVA,Travala.com
496,CCS,CloutContracts
497,CBAT,cBAT
